gene,control_rep2,exp_rep1,control_rep1,exp_rep2,exp_rep3,control_rep3
ENSG00000290825.1,0,2,0,3,1,0
ENSG00000223972.6,0,0,0,0,0,0
ENSG00000227232.6,146,164,150,200,212,220
ENSG00000278267.1,0,0,0,0,0,2
ENSG00000243485.5,1,4,2,4,1,2
ENSG00000284332.1,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0
ENSG00000290826.1,0,0,0,0,0,0
ENSG00000240361.3,0,0,0,0,0,0
ENSG00000186092.7,0,0,0,0,0,0
ENSG00000238009.7,2,2,1,0,3,1
ENSG00000239945.1,0,0,0,0,0,0
ENSG00000233750.3,5,6,3,9,4,10
ENSG00000268903.1,45,54,56,70,57,73
ENSG00000269981.1,22,27,39,41,44,48
ENSG00000239906.1,2,0,1,2,1,0
ENSG00000241860.7,16,36,35,37,22,23
ENSG00000222623.1,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0
ENSG00000279928.2,0,0,0,0,0,0
ENSG00000279457.4,72,100,99,121,113,119
ENSG00000273874.1,0,0,0,0,0,0
ENSG00000292994.1,24,22,31,31,27,34
ENSG00000228463.11,0,0,0,0,0,0
ENSG00000286448.1,0,0,0,0,0,0
ENSG00000236679.2,0,0,0,1,1,0
ENSG00000236601.2,0,0,0,0,0,0
ENSG00000290385.1,30,41,31,64,25,41
ENSG00000269732.1,0,0,0,0,0,0
ENSG00000284733.2,0,0,0,0,0,0
ENSG00000237094.13,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,0,0,0
ENSG00000250575.1,0,0,0,0,0,0
ENSG00000278757.1,0,0,0,0,0,0
ENSG00000293331.1,5,21,14,13,9,18
ENSG00000235146.2,0,0,0,0,0,0
ENSG00000225972.1,1018,1577,1478,1682,2070,1626
ENSG00000225630.1,755,1034,788,1075,1203,993
ENSG00000237973.1,364,467,374,509,555,543
ENSG00000278791.1,0,0,0,0,0,0
ENSG00000229344.1,31,39,25,53,80,45
ENSG00000240409.1,1,1,1,0,2,0
ENSG00000248527.1,3331,4201,4425,4623,5787,4660
ENSG00000198744.5,43,56,63,85,113,67
ENSG00000268663.1,0,0,0,0,0,0
ENSG00000284662.2,0,0,0,0,0,0
ENSG00000230021.11,0,0,0,0,0,0
ENSG00000229376.3,2,4,0,1,1,3
ENSG00000291215.1,110,129,112,151,88,126
ENSG00000223181.1,0,0,0,0,0,0
ENSG00000229905.1,0,0,0,0,0,0
ENSG00000228327.6,0,0,0,0,0,0
ENSG00000237491.10,17,27,20,26,23,25
ENSG00000285268.1,0,0,0,0,0,0
ENSG00000290784.1,4,5,3,6,4,3
ENSG00000230092.8,0,0,0,0,0,0
ENSG00000177757.2,1,6,2,4,4,5
ENSG00000225880.6,29,31,52,47,50,42
ENSG00000228794.12,1751,2359,1996,2288,2109,2649
ENSG00000288531.1,0,3,1,3,2,0
ENSG00000230368.2,1,1,1,4,1,2
ENSG00000234711.1,0,0,1,1,0,0
ENSG00000283040.1,0,1,0,1,0,1
ENSG00000272438.1,22,27,21,30,28,28
ENSG00000230699.2,102,102,104,133,134,119
ENSG00000241180.1,2,1,0,1,4,4
ENSG00000223764.2,88,81,75,109,124,128
ENSG00000187634.13,93,59,90,53,148,131
ENSG00000188976.11,10656,11524,11020,11209,13440,14225
ENSG00000187961.15,258,361,343,411,341,383
ENSG00000187583.11,103,149,116,143,126,141
ENSG00000187642.10,3,2,3,0,0,0
ENSG00000272512.1,21,22,16,42,25,23
ENSG00000188290.11,438,366,450,426,713,554
ENSG00000187608.10,588,493,614,501,581,848
ENSG00000231702.2,0,0,1,0,0,2
ENSG00000224969.1,4,12,6,9,8,12
ENSG00000188157.15,50969,60960,51916,58940,69113,68225
ENSG00000242590.1,0,0,0,0,0,0
ENSG00000291156.1,63,80,82,71,64,68
ENSG00000273443.1,7,4,3,2,4,1
ENSG00000217801.13,5,10,14,11,10,6
ENSG00000237330.3,32,30,41,41,42,35
ENSG00000131591.18,831,884,846,911,1227,1128
ENSG00000285812.1,7,14,17,26,11,12
ENSG00000223823.1,0,0,1,0,0,0
ENSG00000207730.3,2,0,0,0,0,0
ENSG00000207607.3,0,0,0,0,0,2
ENSG00000198976.1,0,0,5,1,1,0
ENSG00000272141.1,5,5,9,7,8,10
ENSG00000205231.1,14,2,17,11,11,14
ENSG00000162571.14,14,14,19,12,9,23
ENSG00000186891.14,6,1,6,2,3,5
ENSG00000186827.12,2,1,3,2,3,6
ENSG00000078808.20,8868,10421,9515,11091,12066,12394
ENSG00000176022.7,2456,2746,2573,2700,3260,3234
ENSG00000184163.3,29,25,29,27,42,28
ENSG00000260179.1,3,9,11,4,13,8
ENSG00000160087.21,2878,3397,3090,3538,3920,4025
ENSG00000230415.1,5,3,8,6,4,9
ENSG00000162572.21,39,42,60,48,60,72
ENSG00000131584.19,2253,2332,2382,2537,2544,2939
ENSG00000278073.1,0,0,0,0,0,0
ENSG00000169972.13,863,842,826,913,1177,1179
ENSG00000127054.22,4423,4567,4640,4884,5568,6024
ENSG00000283712.1,0,0,0,0,0,0
ENSG00000240731.1,36,51,47,60,40,30
ENSG00000224051.7,1137,1165,1028,1073,1469,1451
ENSG00000169962.5,26,18,13,21,23,26
ENSG00000107404.21,3028,3004,3037,3327,3686,3874
ENSG00000284372.1,0,0,0,0,0,0
ENSG00000162576.17,1945,1127,1921,1188,2037,2485
ENSG00000175756.14,3720,3793,3772,3790,5235,5064
ENSG00000223663.2,0,8,1,1,0,0
ENSG00000221978.13,2076,2747,2614,3320,2565,3066
ENSG00000224870.9,1060,1253,1240,1374,1344,1597
ENSG00000242485.6,3604,4424,3951,4324,4950,5252
ENSG00000264293.2,0,0,0,0,0,0
ENSG00000272455.1,138,167,146,192,145,187
ENSG00000235098.9,439,439,509,443,612,678
ENSG00000225905.1,5,7,9,8,9,9
ENSG00000205116.4,111,146,149,114,135,187
ENSG00000225285.1,36,43,50,57,55,51
ENSG00000179403.12,3702,4796,3807,4660,5514,4995
ENSG00000215915.10,47,91,67,124,69,94
ENSG00000160072.20,1491,1596,1519,1625,1838,2030
ENSG00000290916.1,1,0,0,2,2,2
ENSG00000284740.3,0,0,0,0,0,0
ENSG00000197785.14,2874,3005,3000,2811,3941,4053
ENSG00000205090.10,92,65,98,81,139,132
ENSG00000160075.12,6563,8005,7171,7624,8671,9328
ENSG00000215014.5,35,53,37,31,51,63
ENSG00000274481.1,0,0,0,0,0,0
ENSG00000228594.4,521,462,536,445,658,754
ENSG00000286989.1,6,9,9,8,8,6
ENSG00000272106.1,136,160,134,160,196,175
ENSG00000197530.13,1182,1374,1262,1398,1735,1625
ENSG00000189409.14,3,1,4,0,5,2
ENSG00000248333.9,2256,2530,2535,2558,2696,3231
ENSG00000272004.1,3,3,3,0,4,1
ENSG00000189339.12,6218,7367,6882,8047,7135,8639
ENSG00000293187.1,53,80,72,87,54,67
ENSG00000269737.3,20,21,31,45,18,30
ENSG00000215914.4,0,1,1,1,0,2
ENSG00000008128.23,126,147,150,212,145,212
ENSG00000268575.1,97,142,158,135,140,178
ENSG00000293188.1,128,202,194,212,159,230
ENSG00000290854.1,122,137,132,143,136,202
ENSG00000215790.9,0,0,0,0,0,0
ENSG00000227775.4,0,0,0,0,0,0
ENSG00000008130.15,4031,4419,4480,5021,4851,5561
ENSG00000078369.19,34513,40798,41086,41117,42896,48640
ENSG00000231050.3,7,12,8,9,13,16
ENSG00000169885.10,2,7,1,11,5,6
ENSG00000178821.13,161,167,178,168,248,234
ENSG00000142609.20,25,24,28,18,34,40
ENSG00000233542.2,0,0,0,0,0,0
ENSG00000187730.9,1,0,2,3,2,0
ENSG00000226969.1,2,1,1,1,2,2
ENSG00000067606.17,2782,3286,2981,3025,3293,3819
ENSG00000271806.1,6,0,0,3,4,1
ENSG00000182873.5,157,182,193,223,218,248
ENSG00000162585.17,2314,2242,2255,2231,3151,3055
ENSG00000234396.3,0,0,0,0,0,0
ENSG00000157933.11,4508,5119,5198,5230,5887,6421
ENSG00000287356.1,59,57,57,89,82,105
ENSG00000116151.14,282,419,371,364,312,411
ENSG00000272161.1,0,0,0,2,1,0
ENSG00000292993.1,132,118,151,156,151,206
ENSG00000269896.3,0,0,0,0,0,0
ENSG00000272420.1,7,2,4,4,9,4
ENSG00000157916.20,4615,5876,5285,5972,5778,6275
ENSG00000157911.11,1176,1292,1178,1175,1470,1495
ENSG00000149527.18,16,13,20,15,13,29
ENSG00000224387.1,0,0,0,0,0,0
ENSG00000229393.1,0,0,0,3,0,0
ENSG00000157881.16,1373,1523,1487,1496,1638,2017
ENSG00000197921.6,0,0,1,2,2,1
ENSG00000272449.3,16,20,22,23,32,37
ENSG00000238164.6,1,0,0,1,0,4
ENSG00000157873.18,23,35,31,33,37,44
ENSG00000225931.3,7,7,4,10,3,7
ENSG00000228037.1,3,6,1,8,3,6
ENSG00000289610.2,0,2,0,3,2,1
ENSG00000157870.17,2632,2975,2861,3043,3607,3482
ENSG00000142606.16,0,0,0,0,0,0
ENSG00000237058.1,0,0,0,0,0,0
ENSG00000215912.13,0,0,0,0,0,0
ENSG00000285945.1,0,0,0,0,0,0
ENSG00000283259.1,0,0,0,0,0,0
ENSG00000233234.1,0,0,0,0,0,0
ENSG00000287396.1,0,0,0,0,0,0
ENSG00000231630.1,0,0,0,0,0,0
ENSG00000284745.1,0,0,0,0,0,0
ENSG00000169717.7,4,1,1,0,0,2
ENSG00000177133.14,647,582,652,648,811,893
ENSG00000142611.17,3170,3087,3436,3192,3145,4228
ENSG00000283572.1,0,0,0,1,0,0
ENSG00000226286.1,6,4,0,7,4,2
ENSG00000279839.1,0,1,3,2,2,1
ENSG00000272235.1,13,7,8,13,16,18
ENSG00000287828.1,14,15,26,15,27,20
ENSG00000286518.1,4,6,6,0,7,8
ENSG00000130762.15,1946,2414,2146,2474,2446,2692
ENSG00000272088.1,5,5,5,6,10,3
ENSG00000162591.17,4525,5093,4538,5000,6371,5885
ENSG00000207776.1,0,0,0,1,0,0
ENSG00000238260.3,2,14,8,10,10,7
ENSG00000158109.15,5709,6349,6233,6516,6878,7707
ENSG00000116213.16,1106,1434,1303,1654,1619,1530
ENSG00000078900.16,78,93,102,114,102,112
ENSG00000227589.1,5,0,3,1,1,2
ENSG00000235131.1,0,0,0,0,0,0
ENSG00000293478.1,1270,1504,1641,1671,1635,1822
ENSG00000276189.1,0,0,0,0,0,0
ENSG00000227372.13,0,0,0,0,0,0
ENSG00000162592.10,8,10,10,9,10,15
ENSG00000235169.11,104,120,105,91,159,168
ENSG00000130764.10,4288,4889,4914,5303,5664,6074
ENSG00000266075.2,1,5,1,5,4,5
ENSG00000272153.1,21,23,18,28,24,26
ENSG00000116198.14,2534,3001,2770,3041,2719,3364
ENSG00000169598.17,834,999,886,1048,976,1070
ENSG00000198912.12,1322,1717,1626,1941,1846,2040
ENSG00000236423.8,19,40,27,43,33,19
ENSG00000233304.7,0,0,0,0,0,0
ENSG00000226374.3,0,0,0,0,0,0
ENSG00000284668.2,0,0,1,0,0,0
ENSG00000284703.1,0,0,0,0,0,0
ENSG00000229280.1,0,0,0,0,0,0
ENSG00000235054.4,0,0,0,0,0,0
ENSG00000284694.1,0,0,0,0,0,0
ENSG00000227169.2,0,0,0,0,0,0
ENSG00000232596.3,0,0,0,0,0,0
ENSG00000196581.11,32,26,42,43,44,40
ENSG00000287586.1,1,0,0,1,1,0
ENSG00000284739.1,0,0,1,0,0,0
ENSG00000284674.1,0,0,0,0,0,0
ENSG00000231510.1,0,0,0,0,0,0
ENSG00000284616.1,0,0,0,2,0,0
ENSG00000284692.2,0,0,0,0,0,0
ENSG00000284666.1,0,0,0,0,0,0
ENSG00000260972.1,0,0,0,0,0,0
ENSG00000283356.1,0,0,0,0,0,0
ENSG00000236948.2,0,0,0,2,1,1
ENSG00000264341.1,0,0,0,0,0,0
ENSG00000289893.1,0,0,2,1,0,0
ENSG00000264101.1,0,0,0,0,0,0
ENSG00000131697.18,633,717,835,809,778,920
ENSG00000069424.16,259,177,256,210,305,362
ENSG00000116254.18,13,12,14,13,10,14
ENSG00000285629.1,0,0,0,0,2,0
ENSG00000116251.11,15829,20625,17200,18164,17329,21588
ENSG00000226944.1,20,13,21,20,38,26
ENSG00000158286.13,182,271,272,346,221,301
ENSG00000116237.16,12406,15473,14025,14838,14516,16502
ENSG00000225077.3,41,24,38,32,39,52
ENSG00000173673.9,0,0,0,0,0,1
ENSG00000158292.7,633,633,788,659,968,961
ENSG00000097021.21,6024,6859,6611,6483,9527,8531
ENSG00000271746.1,2,0,4,7,2,1
ENSG00000069812.11,353,550,445,626,515,512
ENSG00000187017.18,679,1139,796,1044,1000,916
ENSG00000265392.1,0,0,0,0,0,0
ENSG00000231868.1,0,0,1,1,0,0
ENSG00000215788.11,160,216,235,268,217,268
ENSG00000171680.23,1585,1697,1751,1809,1919,2156
ENSG00000162408.11,1662,1670,1954,1899,1515,2026
ENSG00000253022.1,1,0,0,0,0,0
ENSG00000229519.2,1,2,1,0,0,1
ENSG00000173662.21,1,2,2,2,2,6
ENSG00000204859.13,684,776,795,756,926,1052
ENSG00000162413.17,2816,3165,3118,3067,3743,3810
ENSG00000116273.6,2740,3086,3248,3288,3494,3903
ENSG00000041988.16,805,1002,905,1178,1151,1246
ENSG00000007923.17,4216,5025,4757,4951,4752,5964
ENSG00000228750.7,0,0,0,0,0,0
ENSG00000284744.1,0,0,0,0,0,0
ENSG00000237436.1,18,7,8,11,11,17
ENSG00000171735.21,2884,3827,3460,3902,3923,4284
ENSG00000227950.1,0,0,0,0,0,0
ENSG00000237365.1,0,0,0,0,0,0
ENSG00000207056.1,0,0,0,0,0,0
ENSG00000237402.1,0,1,2,0,0,0
ENSG00000237728.2,0,0,0,0,0,0
ENSG00000225126.1,0,0,0,0,0,0
ENSG00000270171.1,6,2,4,2,1,6
ENSG00000270035.1,5,7,9,6,4,5
ENSG00000269978.1,10,11,7,9,8,9
ENSG00000049245.13,9521,12421,10385,11135,11045,12869
ENSG00000269925.1,22,32,26,36,27,37
ENSG00000049246.15,163,149,215,190,164,258
ENSG00000236266.1,0,4,3,2,0,3
ENSG00000049247.14,1,2,1,0,1,5
ENSG00000049249.10,2245,3055,2675,2732,2274,3000
ENSG00000270330.1,0,0,0,0,0,1
ENSG00000116288.13,14268,16934,15811,17006,18374,19670
ENSG00000200344.1,1,7,4,3,2,3
ENSG00000284747.1,7,12,16,22,11,19
ENSG00000284716.1,0,0,3,3,0,2
ENSG00000116285.13,9986,17203,12761,17506,11779,14361
ENSG00000238290.1,0,5,7,1,4,4
ENSG00000232848.1,0,0,0,2,3,0
ENSG00000229305.1,0,0,0,0,0,0
ENSG00000288816.1,0,0,0,0,0,0
ENSG00000227634.3,2,0,0,0,1,1
ENSG00000200975.1,0,0,0,0,0,0
ENSG00000233645.1,0,0,0,0,0,0
ENSG00000251977.1,0,0,0,0,0,0
ENSG00000162426.16,67,40,80,48,95,93
ENSG00000252254.1,0,0,0,0,0,0
ENSG00000142599.20,6612,7538,7748,7598,8026,9533
ENSG00000232912.6,0,5,1,1,0,3
ENSG00000221083.1,0,0,0,0,0,0
ENSG00000270282.1,1,1,1,0,0,0
ENSG00000234619.1,0,3,2,0,2,0
ENSG00000224315.2,0,0,1,0,2,2
ENSG00000222511.2,0,0,0,0,0,0
ENSG00000226545.1,0,1,0,0,0,0
ENSG00000228423.2,0,2,0,0,0,2
ENSG00000229716.2,0,0,0,0,0,0
ENSG00000074800.16,172263,180244,183187,176889,229020,235261
ENSG00000274258.1,0,0,1,0,0,2
ENSG00000230679.1,3,3,5,3,7,3
ENSG00000201725.1,0,0,0,0,0,0
ENSG00000238249.2,4,5,3,5,13,5
ENSG00000232208.2,0,1,0,1,1,0
ENSG00000232663.2,0,0,0,0,0,0
ENSG00000131686.15,0,0,0,0,0,0
ENSG00000290109.1,0,0,0,0,0,0
ENSG00000265141.2,0,0,0,0,0,0
ENSG00000197241.4,3,3,5,6,5,3
ENSG00000142583.18,11,7,18,13,11,15
ENSG00000252404.1,0,0,0,0,0,0
ENSG00000180758.12,403,487,463,445,418,503
ENSG00000228526.8,146,325,235,356,233,260
ENSG00000284357.1,0,0,0,0,0,0
ENSG00000289914.1,0,0,0,0,0,1
ENSG00000234546.5,99,186,118,146,161,113
ENSG00000049239.13,4692,6158,5713,6435,5297,6682
ENSG00000171621.14,822,912,1026,954,1029,1033
ENSG00000284652.1,1,3,4,4,5,7
ENSG00000284693.2,13,11,8,11,19,29
ENSG00000252956.1,0,0,0,0,0,0
ENSG00000235263.1,0,0,0,0,0,0
ENSG00000171612.7,1991,2601,2312,2521,2459,2885
ENSG00000231181.1,18,34,32,45,28,21
ENSG00000188807.13,2005,2120,2139,1950,2904,2720
ENSG00000171608.18,1028,1111,1196,1068,1330,1407
